,StudentID,Timestamp,state,prop,leaning,topUrl,isRelevant,isAd,non_us_loc,issues
14,14,2020-10-30 18:38:23,CA,24,1,,TRUE,TRUE,,
15,15,2020-10-30 19:55:15,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
15,15,2020-10-30 19:55:15,CA,22,1,https://yeson22.com/?gclid=CjwKCAjw8-78BRA0EiwAFUw8LAesKyNaIqGs0nm0vLaNRiqkj00_fH9iDGCtpH6aqqxP0QbQSJM5RRoCGZ4QAvD_BwE,TRUE,TRUE,,
16,16,2020-10-30 20:31:13,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
16,16,2020-10-30 20:31:13,CA,22,1,https://yeson22.com/?gclid=CjwKCAjw8-78BRA0EiwAFUw8LG0xq1TGmAb1UICeaGq1UDmyK2WHoy6RSxNCgb8io3MS0HAyH0TpnRoC6VMQAvD_BwE,TRUE,TRUE,,
17,17,2020-10-30 22:42:53,CA,24,1,https://www.caprivacy.org/?utm_source=google&utm_medium=search&utm_campaign=prop24&utm_content=kids,TRUE,TRUE,,
17,17,2020-10-30 22:42:53,CA,22,1,https://yeson22.com/?gclid=CjwKCAjw8-78BRA0EiwAFUw8LMtEITXZkRDfph4p225F4Iaa2hgVuyBr7AX5O4_2GbdURrsC5Rx6XxoCVy8QAvD_BwE,TRUE,TRUE,,
18,18,2020-10-30 23:09:51,CA,22,1,,TRUE,TRUE,,
18,18,2020-10-30 23:09:51,CA,24,1,,TRUE,TRUE,,
19,19,2020-10-31 07:15:15,Intl,22,0,https://www.google.com/search?q=prop+22&oq=prop&aqs=chrome.0.69i59j46i175i199i433j69i57j0j0i433j46i131i433j46i175i199i433j69i60.1178j0j7&sourceid=chrome&ie=UTF-8,TRUE,FALSE,Singapore,"Google has a snippet of ""top stories"" that sometimes included for, against and neutral sources. Hence, it was challenging to pinpoint the sentiment of the top result."
19,19,2020-10-31 07:15:15,Intl,24,-1,,TRUE,FALSE,Singapore,"Google has a snippet of ""top stories"" that sometimes included for, against and neutral sources. Hence, it was challenging to pinpoint the sentiment of the top result."
20,20,2020-10-31 09:36:55,CA,22,0,"https://ballotpedia.org/California_Proposition_22,_App-Based_Drivers_as_Contractors_and_Labor_Policies_Initiative_%282020%29",TRUE,FALSE,,The prop22 auto-fill link was different from the first link on the page; I wonder how they choose which website will auto-fill as you're searching. (Maybe I had looked this up in the past I'm not sure)
